,Estado,Cidade,Vacinados (1 Dose),População vacinada,Imunizados (Dose completas),População imunizada,População restante a vacinar
40,Rondônia,Parecis,201,3.31 %,51,0.84 %,5.873
41,Rondônia,Pimenteiras do Oeste,141,6.50 %,47,2.17 %,2.028
42,Rondônia,Primavera de Rondônia,253,8.86 %,81,2.84 %,2.603
43,Rondônia,São Felipe D'Oeste,343,6.63 %,145,2.80 %,4.829
44,Rondônia,São Francisco do Guaporé,671,3.31 %,258,1.27 %,19.595
45,Rondônia,Seringueiras,254,2.14 %,182,1.54 %,11.602
46,Rondônia,Teixeirópolis,159,3.69 %,111,2.58 %,4.149
47,Rondônia,Theobroma,303,2.90 %,201,1.92 %,10.141
48,Rondônia,Urupá,631,5.50 %,225,1.96 %,10.836
49,Rondônia,Vale do Anari,268,2.39 %,111,0.99 %,10.936
50,Rondônia,Vale do Paraíso,438,6.42 %,150,2.20 %,6.387
51,Acre,Acrelândia,778,5.10 %,99,0.65 %,14.478
52,Acre,Assis Brasil,988,13.32 %,451,6.08 %,6.429
53,Acre,Brasiléia,1583,6.02 %,311,1.18 %,24.695
54,Acre,Bujari,607,5.91 %,76,0.74 %,9.659
55,Acre,Capixaba,370,3.15 %,86,0.73 %,11.363
56,Acre,Cruzeiro do Sul,6478,7.33 %,1769,2.00 %,81.898
57,Acre,Epitaciolândia,885,4.81 %,163,0.89 %,17.526
58,Acre,Feijó,2309,6.64 %,809,2.33 %,32.471
59,Acre,Jordão,754,9.07 %,271,3.26 %,7.563
60,Acre,Mâncio Lima,1858,9.79 %,946,4.98 %,17.119
61,Acre,Manoel Urbano,739,7.81 %,237,2.51 %,8.720
62,Acre,Marechal Thaumaturgo,1068,5.66 %,557,2.95 %,17.799
63,Acre,Plácido de Castro,814,4.12 %,124,0.63 %,18.947
64,Acre,Porto Walter,438,3.66 %,245,2.04 %,11.544
65,Acre,Rio Branco,20807,5.11 %,4217,1.04 %,386.512
66,Acre,Rodrigues Alves,498,2.63 %,1,0.01 %,18.432
67,Acre,Santa Rosa do Purus,918,14.04 %,452,6.91 %,5.622
68,Acre,Senador Guiomard,932,4.05 %,179,0.78 %,22.092
69,Acre,Sena Madureira,1838,4.01 %,346,0.75 %,44.010
70,Acre,Tarauacá,1499,3.52 %,537,1.26 %,41.068
71,Acre,Xapuri,426,2.20 %,44,0.23 %,18.897
72,Acre,Porto Acre,679,3.67 %,112,0.61 %,17.825
73,Amazonas,Alvarães,1519,9.47 %,550,3.43 %,14.522
74,Amazonas,Amaturá,1492,12.93 %,403,3.49 %,10.044
75,Amazonas,Anamã,808,5.94 %,334,2.45 %,12.806
76,Amazonas,Anori,1083,5.15 %,233,1.11 %,19.927
77,Amazonas,Apuí,461,2.10 %,4,0.02 %,21.512
78,Amazonas,Atalaia do Norte,2726,13.68 %,1332,6.69 %,17.195
79,Amazonas,Autazes,4449,11.24 %,1902,4.81 %,35.116
80,Amazonas,Barcelos,1333,4.85 %,136,0.49 %,26.169
81,Amazonas,Barreirinha,4260,13.30 %,1817,5.67 %,27.781
82,Amazonas,Benjamin Constant,7372,17.15 %,4178,9.72 %,35.612
83,Amazonas,Beruri,1143,5.81 %,375,1.91 %,18.536
84,Amazonas,Boa Vista do Ramos,893,4.65 %,196,1.02 %,18.314
85,Amazonas,Boca do Acre,2498,7.28 %,710,2.07 %,31.810
86,Amazonas,Borba,3022,7.34 %,1523,3.70 %,38.139
87,Amazonas,Caapiranga,795,6.08 %,215,1.64 %,12.286
88,Amazonas,Canutama,598,3.83 %,51,0.33 %,15.031
89,Amazonas,Carauari,1948,6.88 %,323,1.14 %,26.346
90,Amazonas,Careiro,3504,9.25 %,589,1.56 %,34.365
91,Amazonas,Careiro da Várzea,1053,3.48 %,186,0.62 %,29.172
92,Amazonas,Coari,4824,5.67 %,578,0.68 %,80.273
93,Amazonas,Codajás,1301,4.54 %,175,0.61 %,27.336
94,Amazonas,Eirunepé,2420,6.86 %,535,1.52 %,32.853
95,Amazonas,Envira,1433,7.15 %,264,1.32 %,18.600
96,Amazonas,Fonte Boa,937,5.32 %,179,1.02 %,16.672
97,Amazonas,Guajará,964,5.78 %,146,0.88 %,15.714
98,Amazonas,Humaitá,5383,9.77 %,1362,2.47 %,49.697
99,Amazonas,Ipixuna,912,3.07 %,252,0.85 %,28.777
100,Amazonas,Iranduba,3530,7.31 %,396,0.82 %,44.766
101,Amazonas,Itacoatiara,8001,7.90 %,1123,1.11 %,93.336
102,Amazonas,Itamarati,550,7.01 %,177,2.25 %,7.301
103,Amazonas,Itapiranga,463,5.06 %,47,0.51 %,8.685
104,Amazonas,Japurá,539,19.56 %,232,8.42 %,2.216
105,Amazonas,Juruá,197,1.34 %,28,0.19 %,14.515
106,Amazonas,Jutaí,388,2.71 %,42,0.29 %,13.929
107,Amazonas,Lábrea,5051,10.96 %,2093,4.54 %,41.018
108,Amazonas,Manacapuru,5613,5.76 %,1262,1.30 %,91.764
109,Amazonas,Manaquiri,1165,3.63 %,144,0.45 %,30.940
110,Amazonas,Manaus,220327,10.09 %,49882,2.29 %,1.962.436
111,Amazonas,Manicoré,1102,1.98 %,585,1.05 %,54.649
112,Amazonas,Maraã,973,5.34 %,394,2.16 %,17.251
113,Amazonas,Maués,5814,9.10 %,1510,2.36 %,58.091
114,Amazonas,Nhamundá,1741,8.22 %,470,2.22 %,19.432
115,Amazonas,Nova Olinda do Norte,936,2.50 %,121,0.32 %,36.442
116,Amazonas,Novo Airão,1375,7.07 %,150,0.77 %,18.079
117,Amazonas,Novo Aripuanã,1353,5.28 %,125,0.49 %,24.291
118,Amazonas,Parintins,7928,6.94 %,693,0.61 %,106.345
119,Amazonas,Pauini,1656,8.52 %,551,2.84 %,17.770
120,Amazonas,Presidente Figueiredo,2642,7.28 %,293,0.81 %,33.637
121,Amazonas,Rio Preto da Eva,2062,6.18 %,210,0.63 %,31.285
122,Amazonas,Santa Isabel do Rio Negro,2307,9.17 %,815,3.24 %,22.849
123,Amazonas,Santo Antônio do Içá,2866,13.27 %,475,2.20 %,18.736
124,Amazonas,São Gabriel da Cachoeira,10148,22.27 %,4704,10.32 %,35.416
125,Amazonas,São Paulo de Olivença,6610,16.82 %,1074,2.73 %,32.689
126,Amazonas,São Sebastião do Uatumã,707,5.04 %,327,2.33 %,13.313
127,Amazonas,Silves,794,8.66 %,215,2.34 %,8.377
128,Amazonas,Tabatinga,7623,11.58 %,779,1.18 %,58.221
129,Amazonas,Tapauá,312,1.82 %,48,0.28 %,16.844
130,Amazonas,Tefé,5859,9.79 %,1005,1.68 %,53.990
131,Amazonas,Tonantins,1720,9.17 %,330,1.76 %,17.035
132,Amazonas,Uarini,509,3.76 %,144,1.06 %,13.031
133,Amazonas,Urucará,1337,8.22 %,160,0.98 %,14.919
134,Amazonas,Urucurituba,1208,5.24 %,229,0.99 %,21.857
135,Roraima,Amajari,1449,11.32 %,728,5.69 %,11.347
136,Roraima,Alto Alegre,2261,14.58 %,1275,8.22 %,13.249
137,Roraima,Boa Vista,23020,5.77 %,10419,2.61 %,376.193
138,Roraima,Bonfim,1580,12.73 %,384,3.09 %,10.829
139,Roraima,Cantá,1591,8.68 %,511,2.79 %,16.744
140,Roraima,Caracaraí,513,2.34 %,384,1.75 %,21.413
141,Roraima,Caroebe,582,5.72 %,246,2.42 %,9.587
142,Roraima,Iracema,388,3.25 %,205,1.72 %,11.562
143,Roraima,Mucajaí,852,4.77 %,396,2.22 %,17.001
144,Roraima,Normandia,1743,15.44 %,750,6.64 %,9.547
145,Roraima,Pacaraima,2537,14.58 %,1307,7.51 %,14.864
146,Roraima,Rorainópolis,1059,3.51 %,598,1.98 %,29.104
147,Roraima,São João da Baliza,360,4.39 %,185,2.26 %,7.841
148,Roraima,São Luiz,342,4.28 %,143,1.79 %,7.644
149,Roraima,Uiramutã,2860,27.09 %,1492,14.13 %,7.699
150,Pará,Abaetetuba,4766,3.02 %,1111,0.70 %,152.932
151,Pará,Abel Figueiredo,289,3.89 %,57,0.77 %,7.145
152,Pará,Acará,1071,1.93 %,232,0.42 %,54.520
153,Pará,Afuá,744,1.90 %,167,0.43 %,38.474
154,Pará,Água Azul do Norte,340,1.24 %,141,0.51 %,27.090
155,Pará,Alenquer,2381,4.19 %,370,0.65 %,54.408
156,Pará,Almeirim,1654,4.85 %,596,1.75 %,32.455
157,Pará,Altamira,6649,5.80 %,2437,2.13 %,107.945
158,Pará,Anajás,883,3.02 %,198,0.68 %,28.394
159,Pará,Ananindeua,33232,6.26 %,4601,0.87 %,497.366
160,Pará,Anapu,927,3.32 %,410,1.47 %,26.963
161,Pará,Augusto Corrêa,803,1.75 %,249,0.54 %,45.195
162,Pará,Aurora do Pará,532,1.70 %,139,0.44 %,30.806
163,Pará,Aveiro,542,3.31 %,330,2.01 %,15.846
164,Pará,Bagre,781,2.55 %,207,0.67 %,29.892
165,Pará,Baião,718,1.51 %,241,0.51 %,46.728
166,Pará,Bannach,175,5.33 %,66,2.01 %,3.111
167,Pará,Barcarena,3747,3.01 %,1085,0.87 %,120.933
168,Pará,Belém,161340,10.81 %,38150,2.56 %,1.331.405
169,Pará,Belterra,735,4.15 %,344,1.94 %,16.997
170,Pará,Benevides,6000,9.56 %,909,1.45 %,56.737
171,Pará,Bom Jesus do Tocantins,718,4.23 %,156,0.92 %,16.263
172,Pará,Bonito,262,1.61 %,60,0.37 %,16.024
173,Pará,Bragança,5328,4.17 %,1046,0.82 %,122.358
174,Pará,Brasil Novo,896,5.94 %,139,0.92 %,14.190
175,Pará,Brejo Grande do Araguaia,292,3.96 %,70,0.95 %,7.088
176,Pará,Breu Branco,828,1.25 %,184,0.28 %,65.218
177,Pará,Breves,3841,3.74 %,1101,1.07 %,98.860
178,Pará,Bujaru,749,2.57 %,116,0.40 %,28.383
179,Pará,Cachoeira do Piriá,426,1.26 %,117,0.35 %,33.474
180,Pará,Cachoeira do Arari,832,3.50 %,256,1.08 %,22.935
181,Pará,Cametá,2655,1.93 %,863,0.63 %,135.235
182,Pará,Canaã dos Carajás,1326,3.58 %,377,1.02 %,35.759
183,Pará,Capanema,3149,4.56 %,948,1.37 %,65.878
184,Pará,Capitão Poço,2508,4.62 %,898,1.65 %,51.795
185,Pará,Castanhal,7586,3.78 %,1883,0.94 %,193.207
186,Pará,Chaves,380,1.60 %,102,0.43 %,23.337
187,Pará,Colares,451,3.73 %,98,0.81 %,11.634
188,Pará,Conceição do Araguaia,2747,5.74 %,705,1.47 %,45.117
189,Pará,Concórdia do Pará,1040,3.12 %,191,0.57 %,32.278
190,Pará,Cumaru do Norte,299,2.22 %,103,0.76 %,13.174
191,Pará,Curionópolis,1055,5.88 %,92,0.51 %,16.874
192,Pará,Curralinho,571,1.66 %,199,0.58 %,33.877
193,Pará,Curuá,529,3.68 %,83,0.58 %,13.864
194,Pará,Curuçá,1780,4.44 %,343,0.86 %,38.286
195,Pará,Dom Eliseu,1181,1.98 %,389,0.65 %,58.538
196,Pará,Eldorado do Carajás,617,1.83 %,149,0.44 %,33.191
197,Pará,Faro,541,7.52 %,125,1.74 %,6.653
198,Pará,Floresta do Araguaia,275,1.35 %,101,0.50 %,20.029
199,Pará,Garrafão do Norte,747,2.87 %,256,0.98 %,25.319
200,Pará,Goianésia do Pará,551,1.36 %,91,0.22 %,39.924
201,Pará,Gurupá,1329,3.98 %,361,1.08 %,32.047
202,Pará,Igarapé-Açu,2308,5.95 %,285,0.73 %,36.499
203,Pará,Igarapé-Miri,2763,4.41 %,412,0.66 %,59.935
204,Pará,Inhangapi,671,5.73 %,90,0.77 %,11.040
205,Pará,Ipixuna do Pará,975,1.52 %,201,0.31 %,63.078
206,Pará,Irituia,1224,3.76 %,241,0.74 %,31.326
207,Pará,Itaituba,3745,3.70 %,944,0.93 %,97.502
208,Pará,Itupiranga,848,1.59 %,212,0.40 %,52.421
209,Pará,Jacareacanga,1794,21.77 %,496,6.02 %,6.445
210,Pará,Jacundá,1391,2.35 %,194,0.33 %,57.764
211,Pará,Juruti,1871,3.23 %,373,0.64 %,56.072
212,Pará,Limoeiro do Ajuru,617,2.13 %,148,0.51 %,28.318
213,Pará,Mãe do Rio,752,2.50 %,192,0.64 %,29.325
214,Pará,Magalhães Barata,260,3.04 %,70,0.82 %,8.288
215,Pará,Marabá,8638,3.09 %,3083,1.10 %,270.711
216,Pará,Maracanã,681,2.31 %,198,0.67 %,28.792
217,Pará,Marapanim,1160,4.09 %,349,1.23 %,27.176
218,Pará,Marituba,7229,5.50 %,1375,1.05 %,124.292
219,Pará,Medicilândia,854,2.70 %,155,0.49 %,30.743
220,Pará,Melgaço,632,2.29 %,225,0.81 %,27.022
221,Pará,Mocajuba,775,2.49 %,124,0.40 %,30.361
222,Pará,Moju,2163,2.63 %,174,0.21 %,79.931
223,Pará,Monte Alegre,2507,4.32 %,359,0.62 %,55.525
224,Pará,Muaná,735,1.82 %,290,0.72 %,39.614
225,Pará,Nova Esperança do Piriá,383,1.79 %,91,0.43 %,20.985
226,Pará,Nova Ipixuna,491,2.94 %,106,0.64 %,16.187
227,Pará,Nova Timboteua,596,3.88 %,160,1.04 %,14.767
228,Pará,Novo Progresso,719,2.79 %,231,0.90 %,25.043
229,Pará,Novo Repartimento,1590,2.09 %,336,0.44 %,74.329
230,Pará,Óbidos,2900,5.56 %,636,1.22 %,49.237
231,Pará,Oeiras do Pará,805,2.48 %,177,0.54 %,31.707
232,Pará,Oriximiná,4320,5.91 %,1650,2.26 %,68.776
233,Pará,Ourém,705,3.95 %,136,0.76 %,17.137
234,Pará,Ourilândia do Norte,989,3.01 %,449,1.37 %,31.843
235,Pará,Pacajá,920,1.93 %,167,0.35 %,46.786
236,Pará,Palestina do Pará,325,4.28 %,61,0.80 %,7.264
237,Pará,Paragominas,3995,3.53 %,1091,0.96 %,109.150
238,Pará,Parauapebas,3933,1.89 %,1151,0.55 %,204.340
239,Pará,Pau D'Arco,198,3.61 %,50,0.91 %,5.285
240,Pará,Peixe-Boi,373,4.62 %,54,0.67 %,7.704
241,Pará,Piçarra,269,2.07 %,69,0.53 %,12.712
242,Pará,Placas,438,1.41 %,185,0.60 %,30.544
243,Pará,Ponta de Pedras,988,3.18 %,379,1.22 %,30.094
244,Pará,Portel,1136,1.83 %,361,0.58 %,60.907
245,Pará,Porto de Moz,1157,2.81 %,224,0.54 %,39.978
246,Pará,Prainha,1107,3.71 %,203,0.68 %,28.759
247,Pará,Primavera,542,5.01 %,117,1.08 %,10.283
248,Pará,Quatipuru,546,4.01 %,110,0.81 %,13.062
249,Pará,Redenção,3916,4.62 %,771,0.91 %,80.871
250,Pará,Rio Maria,859,4.72 %,233,1.28 %,17.334
251,Pará,Rondon do Pará,943,1.80 %,211,0.40 %,51.414
252,Pará,Rurópolis,1551,3.07 %,439,0.87 %,48.959
253,Pará,Salinópolis,727,1.79 %,246,0.60 %,39.948
254,Pará,Salvaterra,708,2.98 %,236,0.99 %,23.044
255,Pará,Santa Bárbara do Pará,1626,7.71 %,260,1.23 %,19.453
256,Pará,Santa Cruz do Arari,200,1.97 %,126,1.24 %,9.928
257,Pará,Santa Izabel do Pará,2506,3.54 %,481,0.68 %,68.295
258,Pará,Santa Luzia do Pará,668,3.37 %,175,0.88 %,19.180
259,Pará,Santa Maria das Barreiras,373,1.74 %,132,0.62 %,21.076
260,Pará,Santa Maria do Pará,874,3.52 %,153,0.62 %,23.987
261,Pará,Santana do Araguaia,486,0.67 %,151,0.21 %,72.331
262,Pará,Santarém,19500,6.40 %,4663,1.53 %,285.089
263,Pará,Santarém Novo,184,2.74 %,75,1.12 %,6.525
264,Pará,Santo Antônio do Tauá,573,1.82 %,104,0.33 %,30.909
265,Pará,São Caetano de Odivelas,372,2.06 %,109,0.60 %,17.678
266,Pará,São Domingos do Araguaia,922,3.61 %,127,0.50 %,24.635
267,Pará,São Domingos do Capim,909,2.84 %,192,0.60 %,31.080
268,Pará,São Félix do Xingu,783,0.61 %,252,0.20 %,127.698
269,Pará,São Francisco do Pará,881,5.55 %,167,1.05 %,15.001
270,Pará,São Geraldo do Araguaia,388,1.56 %,70,0.28 %,24.459
271,Pará,São João da Ponta,310,5.05 %,50,0.81 %,5.829
272,Pará,São João de Pirabas,864,3.75 %,188,0.82 %,22.181
273,Pará,São João do Araguaia,313,2.24 %,111,0.79 %,13.683
274,Pará,São Miguel do Guamá,1984,3.36 %,349,0.59 %,57.002
275,Pará,São Sebastião da Boa Vista,815,3.06 %,303,1.14 %,25.825
276,Pará,Sapucaia,104,1.75 %,42,0.71 %,5.826
277,Pará,Senador José Porfírio,384,3.29 %,85,0.73 %,11.274
278,Pará,Soure,1384,5.45 %,506,1.99 %,23.990
279,Pará,Tailândia,1393,1.31 %,317,0.30 %,104.946
280,Pará,Terra Alta,375,3.20 %,91,0.78 %,11.345
281,Pará,Terra Santa,764,4.07 %,143,0.76 %,18.005
282,Pará,Tomé-Açu,1948,3.07 %,627,0.99 %,61.499
283,Pará,Tracuateua,716,2.31 %,217,0.70 %,30.243
284,Pará,Trairão,489,2.58 %,138,0.73 %,18.500
285,Pará,Tucumã,1224,3.09 %,250,0.63 %,38.378
286,Pará,Tucuruí,4210,3.70 %,1462,1.29 %,109.449
287,Pará,Ulianópolis,1123,1.90 %,282,0.48 %,58.087
288,Pará,Uruará,981,2.16 %,245,0.54 %,44.495
289,Pará,Vigia,1324,2.47 %,220,0.41 %,52.362
290,Pará,Viseu,1327,2.16 %,331,0.54 %,60.076
291,Pará,Vitória do Xingu,985,6.51 %,330,2.18 %,14.149
292,Pará,Xinguara,1861,4.16 %,365,0.82 %,42.890
293,Amapá,Serra do Navio,243,4.50 %,120,2.22 %,5.154
294,Amapá,Amapá,490,5.38 %,177,1.94 %,8.619
295,Amapá,Pedra Branca do Amapari,1081,6.55 %,501,3.04 %,15.421
296,Amapá,Calçoene,301,2.71 %,189,1.70 %,10.816
297,Amapá,Cutias,297,4.96 %,101,1.69 %,5.686
298,Amapá,Ferreira Gomes,420,5.40 %,186,2.39 %,7.360
299,Amapá,Itaubal,259,4.71 %,69,1.25 %,5.244
300,Amapá,Laranjal do Jari,2076,4.12 %,892,1.77 %,48.334
301,Amapá,Macapá,26907,5.35 %,7772,1.54 %,476.420
302,Amapá,Mazagão,1030,4.76 %,296,1.37 %,20.602
303,Amapá,Oiapoque,3686,13.52 %,2500,9.17 %,23.584
304,Amapá,Porto Grande,426,1.94 %,107,0.49 %,21.545
305,Amapá,Pracuúba,173,3.38 %,102,1.99 %,4.947
306,Amapá,Santana,6182,5.09 %,1054,0.87 %,115.182
307,Amapá,Tartarugalzinho,645,3.73 %,126,0.73 %,16.670
308,Amapá,Vitória do Jari,645,4.05 %,188,1.18 %,15.286
309,Tocantins,Abreulândia,119,4.61 %,40,1.55 %,2.460
310,Tocantins,Aguiarnópolis,272,4.04 %,83,1.23 %,6.461
311,Tocantins,Aliança do Tocantins,333,6.18 %,147,2.73 %,5.057
312,Tocantins,Almas,430,6.09 %,129,1.83 %,6.625
313,Tocantins,Alvorada,372,4.42 %,186,2.21 %,8.040
314,Tocantins,Ananás,465,4.87 %,224,2.35 %,9.084
315,Tocantins,Angico,158,4.60 %,58,1.69 %,3.275
316,Tocantins,Aparecida do Rio Negro,195,4.07 %,68,1.42 %,4.600
317,Tocantins,Aragominas,308,5.35 %,91,1.58 %,5.450
318,Tocantins,Araguacema,382,5.39 %,109,1.54 %,6.704
319,Tocantins,Araguaçu,833,9.78 %,272,3.19 %,7.684
320,Tocantins,Araguaína,13490,7.47 %,4067,2.25 %,166.980
321,Tocantins,Araguanã,263,4.59 %,96,1.68 %,5.466
322,Tocantins,Araguatins,1349,3.77 %,506,1.41 %,34.412
323,Tocantins,Arapoema,296,4.46 %,56,0.84 %,6.347
324,Tocantins,Arraias,612,5.79 %,306,2.90 %,9.955
325,Tocantins,Augustinópolis,1142,6.20 %,415,2.25 %,17.270
326,Tocantins,Aurora do Tocantins,249,6.63 %,98,2.61 %,3.508
327,Tocantins,Axixá do Tocantins,630,6.46 %,172,1.76 %,9.126
328,Tocantins,Babaçulândia,391,3.67 %,172,1.61 %,10.273
329,Tocantins,Bandeirantes do Tocantins,180,5.07 %,55,1.55 %,3.373
330,Tocantins,Barra do Ouro,113,2.46 %,52,1.13 %,4.478
331,Tocantins,Barrolândia,398,7.07 %,121,2.15 %,5.234
332,Tocantins,Bernardo Sayão,267,5.99 %,71,1.59 %,4.192
333,Tocantins,Bom Jesus do Tocantins,121,2.47 %,28,0.57 %,4.773
334,Tocantins,Brasilândia do Tocantins,187,8.50 %,58,2.64 %,2.014
335,Tocantins,Brejinho de Nazaré,301,5.48 %,110,2.00 %,5.196
336,Tocantins,Buriti do Tocantins,351,3.09 %,116,1.02 %,10.997
337,Tocantins,Cachoeirinha,92,4.04 %,51,2.24 %,2.183
338,Tocantins,Campos Lindos,166,1.64 %,54,0.53 %,9.950
339,Tocantins,Cariri do Tocantins,300,6.85 %,91,2.08 %,4.082
340,Tocantins,Carmolândia,122,4.73 %,40,1.55 %,2.458
341,Tocantins,Carrasco Bonito,192,4.69 %,75,1.83 %,3.903
342,Tocantins,Caseara,223,4.15 %,61,1.14 %,5.146
343,Tocantins,Centenário,145,4.99 %,48,1.65 %,2.760
344,Tocantins,Chapada de Areia,85,6.05 %,25,1.78 %,1.321
345,Tocantins,Chapada da Natividade,220,6.60 %,71,2.13 %,3.113
346,Tocantins,Colinas do Tocantins,2012,5.68 %,560,1.58 %,33.412
347,Tocantins,Combinado,164,3.38 %,96,1.98 %,4.688
348,Tocantins,Conceição do Tocantins,319,7.77 %,104,2.53 %,3.786
349,Tocantins,Couto Magalhães,224,4.01 %,75,1.34 %,5.364
350,Tocantins,Cristalândia,722,9.91 %,228,3.13 %,6.567
351,Tocantins,Crixás do Tocantins,122,7.08 %,37,2.15 %,1.600
352,Tocantins,Darcinópolis,179,2.94 %,79,1.30 %,5.918
353,Tocantins,Dianópolis,971,4.39 %,376,1.70 %,21.168
354,Tocantins,Divinópolis do Tocantins,357,5.17 %,143,2.07 %,6.543
355,Tocantins,Dois Irmãos do Tocantins,309,4.29 %,159,2.21 %,6.889
356,Tocantins,Dueré,308,6.57 %,117,2.50 %,4.378
357,Tocantins,Esperantina,352,3.20 %,84,0.76 %,10.644
358,Tocantins,Fátima,332,8.66 %,88,2.29 %,3.503
359,Tocantins,Figueirópolis,342,6.50 %,101,1.92 %,4.921
360,Tocantins,Filadélfia,286,3.23 %,124,1.40 %,8.570
361,Tocantins,Formoso do Araguaia,1269,6.88 %,518,2.81 %,17.171
362,Tocantins,Fortaleza do Tabocão,171,6.60 %,56,2.16 %,2.418
363,Tocantins,Goianorte,270,5.27 %,89,1.74 %,4.853
364,Tocantins,Goiatins,1174,9.02 %,760,5.84 %,11.845
365,Tocantins,Guaraí,1440,5.55 %,592,2.28 %,24.483
366,Tocantins,Gurupi,4094,4.72 %,1671,1.93 %,82.553
367,Tocantins,Ipueiras,162,8.04 %,46,2.28 %,1.853
368,Tocantins,Itacajá,724,9.74 %,331,4.45 %,6.709
369,Tocantins,Itaguatins,276,4.71 %,126,2.15 %,5.588
370,Tocantins,Itapiratins,238,6.30 %,72,1.91 %,3.539
371,Tocantins,Itaporã do Tocantins,129,5.32 %,61,2.51 %,2.298
372,Tocantins,Jaú do Tocantins,244,6.34 %,79,2.05 %,3.605
373,Tocantins,Juarina,79,3.60 %,40,1.82 %,2.114
374,Tocantins,Lagoa da Confusão,527,3.95 %,166,1.24 %,12.830
375,Tocantins,Lagoa do Tocantins,195,4.52 %,40,0.93 %,4.121
376,Tocantins,Lajeado,328,10.47 %,93,2.97 %,2.806
377,Tocantins,Lavandeira,97,5.04 %,39,2.03 %,1.826
378,Tocantins,Lizarda,202,5.40 %,66,1.76 %,3.538
379,Tocantins,Luzinópolis,113,3.64 %,32,1.03 %,2.995
380,Tocantins,Marianópolis do Tocantins,163,3.15 %,53,1.02 %,5.012
381,Tocantins,Mateiros,111,4.14 %,29,1.08 %,2.573
382,Tocantins,Maurilândia do Tocantins,176,5.14 %,85,2.48 %,3.250
383,Tocantins,Miracema do Tocantins,1397,7.66 %,495,2.71 %,16.851
384,Tocantins,Miranorte,511,3.80 %,269,2.00 %,12.923
385,Tocantins,Monte do Carmo,271,3.41 %,131,1.65 %,7.676
386,Tocantins,Monte Santo do Tocantins,120,5.27 %,54,2.37 %,2.159
387,Tocantins,Palmeiras do Tocantins,249,3.74 %,120,1.80 %,6.409
388,Tocantins,Muricilândia,233,6.56 %,82,2.31 %,3.318
389,Tocantins,Natividade,700,7.57 %,214,2.32 %,8.544
390,Tocantins,Nazaré,312,8.00 %,114,2.92 %,3.586
